"Date","Variable","Impact","Sector"
2021-07-01,"VAT Financial Institutions (Salary)",-0.000270986915271579,"personal_labor_income_taxes"
2021-07-01,"Non-profit institution tax",-0.000349181331350807,"personal_labor_income_taxes"
2021-07-01,"Companies advances",-0.000184640121550973,"corporate_business_tax"
2021-07-01,"tax differential companies",3.00343028797144e-05,"corporate_business_tax"
2021-07-01,"Cancellation companies",5.72394248791946e-05,"corporate_business_tax"
2021-07-01,"Income tax for self-employed individuals and companies (advances and deductions)",-0.000315052877068594,"corporate_business_tax"
2021-07-01,"excess expenses",-0.00011318669700586,"corporate_business_tax"
2021-07-01,"Bonds and dividends",4.62804729400297e-05,"corporate_business_tax"
2021-07-01,"Cancellations Deductions",4.25236373074295e-05,"corporate_business_tax"
2021-07-01,"Goods and services",0.000117482494096342,"corporate_business_tax"
2021-07-01,"Gross local VAT",1.68768019026812e-05,"consumption_tax"
2021-07-01,"VAT refund autonomy and traders",-0.000134786468386015,"consumption_tax"
2021-07-01,"Total net VAT",-5.67738395180845e-06,"consumption_tax"
2021-07-01,"Net local sales tax",0.000241310506158418,"consumption_tax"
2021-07-01,"Gross fuel tax",0.000720790279967419,"consumption_tax"
2021-07-01,"Gross import VAT",0.000559142043576284,"import_trade_tax"
2021-07-01,"Net customs",0.000206923221679054,"import_trade_tax"
2021-07-01,"Total import taxes",0.000642254803717163,"import_trade_tax"
2021-07-01,"Real estate taxation",-0.000821151498238142,"real_estate"
2021-07-01,"Property tax",2.53412285494822e-05,"real_estate"
2021-07-01,"praise tax",-0.000700523185099411,"real_estate"
2021-07-01,"Real estate purchase tax",-0.000860846645796641,"real_estate"
2021-07-01,"purchase returns",0.000794650606147278,"real_estate"
2021-07-01,"Apartments sold at an annual rate",0.00079120314870809,"real_estate"
2021-07-01,"Apartment Price Index (1993=100) - Mid-period reviewed",8.22767972294584e-05,"real_estate"
2021-07-01,"cons_trust",-4.75742527772956e-05,"real_activity"
2021-07-01,"madad meshulav",0.00225159479608239,"real_activity"
2021-07-01,"madad_cc_purchases_sa",0.00315522864322236,"real_activity"
2021-07-01,"madad_pedio",0.00565980672481565,"real_activity"
2021-07-01,"madad_yetzur_industrial",0.00565980672481565,"real_activity"
2021-07-01,"Oil",0.000493126082005451,"real_activity"
2021-07-01,"madad_hadash",1.85702368749017e-05,"real_activity"
2021-07-01,"real salary",-0.000111024536551263,"labor"
2021-07-01,"salaried jobs",-9.95316338083441e-05,"labor"
2021-07-01,"unemployment rate",4.19650737331163e-05,"labor"
2021-07-01,"employment rate",0.000759849868850153,"labor"
2021-07-01,"TA35",-0.000456691629806451,"capital_markets"
2021-07-01,"TA125",-0.000410144118492727,"capital_markets"
2021-07-01,"Nasdaq",0.000311466350275932,"capital_markets"
2021-07-01,"sp500",0.000388837198820873,"capital_markets"
2021-07-01,"Reer",-2.70015095842395e-05,"FX_liqudity"
2021-07-01,"Dollar",-5.54712326602462e-05,"FX_liqudity"
2021-07-01,"Foreign exchange reserves (millions of dollars)",-5.65327087782116e-07,"FX_liqudity"
2021-08-01,"Total Gross Income Tax Division",0.00074051802007333,"personal_labor_income_taxes"
2021-08-01,"Total refunds from the Income Tax Department",-0.000486461127181789,"personal_labor_income_taxes"
2021-08-01,"Deductions and the capital market",0.00104712727530892,"personal_labor_income_taxes"
2021-08-01,"Deduction from salary",0.00116870992986451,"personal_labor_income_taxes"
2021-08-01,"Independents advances",0.00115096623191673,"personal_labor_income_taxes"
2021-08-01,"Self-employed tax differences",0.000109110363282893,"personal_labor_income_taxes"
2021-08-01,"Independent Cancellations",-3.27943658475778e-07,"personal_labor_income_taxes"
2021-08-01,"Capital Gains Tax Refunds",1.67930304629295e-05,"personal_labor_income_taxes"
2021-08-01,"VAT Financial Institutions (Salary)",0.000671547575320152,"personal_labor_income_taxes"
2021-08-01,"Non-profit institution tax",-0.00198834498120476,"personal_labor_income_taxes"
2021-08-01,"Companies advances",7.38002224656829e-05,"corporate_business_tax"
2021-08-01,"tax differential companies",0.000410373433456091,"corporate_business_tax"
2021-08-01,"Cancellation companies",-6.83910665974549e-07,"corporate_business_tax"
2021-08-01,"Income tax for self-employed individuals and companies (advances and deductions)",0.000555628943186966,"corporate_business_tax"
2021-08-01,"excess expenses",-7.29555652988472e-05,"corporate_business_tax"
2021-08-01,"Bonds and dividends",-0.000105568602318819,"corporate_business_tax"
2021-08-01,"Cancellations Deductions",-2.62052434140867e-06,"corporate_business_tax"
2021-08-01,"Goods and services",0.000115110440446057,"corporate_business_tax"
2021-08-01,"Gross local VAT",0.000259140669606202,"consumption_tax"
